instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
495,2012-05-09,Summer,2012,5,Non Holiday,Wednesday,Working Day,Mist,57,55,74,21,620,4097,4717
496,2012-05-10,Summer,2012,5,Non Holiday,Thursday,Working Day,Clear,50,49,55,31,1026,5546,6572
497,2012-05-11,Summer,2012,5,Non Holiday,Friday,Working Day,Clear,53,52,36,23,1319,5711,7030
498,2012-05-12,Summer,2012,5,Non Holiday,Saturday,Non-Working Day,Clear,56,54,48,12,2622,4807,7429
499,2012-05-13,Summer,2012,5,Non Holiday,Sunday,Non-Working Day,Clear,61,58,57,22,2172,3946,6118
500,2012-05-14,Summer,2012,5,Non Holiday,Monday,Working Day,Mist,57,54,78,21,342,2501,2843
501,2012-05-15,Summer,2012,5,Non Holiday,Tuesday,Working Day,Mist,61,57,79,14,625,4490,5115
502,2012-05-16,Summer,2012,5,Non Holiday,Wednesday,Working Day,Clear,63,59,69,12,991,6433,7424
503,2012-05-17,Summer,2012,5,Non Holiday,Thursday,Working Day,Clear,59,57,52,22,1242,6142,7384
504,2012-05-18,Summer,2012,5,Non Holiday,Friday,Working Day,Clear,56,55,52,13,1521,6118,7639
505,2012-05-19,Summer,2012,5,Non Holiday,Saturday,Non-Working Day,Clear,60,56,45,8,3410,4884,8294
506,2012-05-20,Summer,2012,5,Non Holiday,Sunday,Non-Working Day,Clear,62,58,53,25,2704,4425,7129
507,2012-05-21,Summer,2012,5,Non Holiday,Monday,Working Day,Mist,59,56,81,23,630,3729,4359
508,2012-05-22,Summer,2012,5,Non Holiday,Tuesday,Working Day,Mist,61,58,76,11,819,5254,6073
509,2012-05-23,Summer,2012,5,Non Holiday,Wednesday,Working Day,Mist,62,58,77,10,766,4494,5260
510,2012-05-24,Summer,2012,5,Non Holiday,Thursday,Working Day,Clear,65,60,71,17,1059,5711,6770
511,2012-05-25,Summer,2012,5,Non Holiday,Friday,Working Day,Clear,68,62,74,14,1417,5317,6734
512,2012-05-26,Summer,2012,5,Non Holiday,Saturday,Non-Working Day,Clear,69,64,73,19,2855,3681,6536
513,2012-05-27,Summer,2012,5,Non Holiday,Sunday,Non-Working Day,Clear,69,64,69,21,3283,3308,6591
514,2012-05-28,Summer,2012,5,Holiday,Monday,Non-Working Day,Clear,71,67,67,19,2557,3486,6043
515,2012-05-29,Summer,2012,5,Non Holiday,Tuesday,Working Day,Clear,72,67,68,29,880,4863,5743
516,2012-05-30,Summer,2012,5,Non Holiday,Wednesday,Working Day,Mist,65,61,67,13,745,6110,6855
517,2012-05-31,Summer,2012,5,Non Holiday,Thursday,Working Day,Clear,68,63,49,19,1100,6238,7338
518,2012-06-01,Summer,2012,6,Non Holiday,Friday,Working Day,Mist,65,60,75,23,533,3594,4127
519,2012-06-02,Summer,2012,6,Non Holiday,Saturday,Non-Working Day,Clear,58,56,54,18,2795,5325,8120
520,2012-06-03,Summer,2012,6,Non Holiday,Sunday,Non-Working Day,Clear,60,57,49,18,2494,5147,7641
521,2012-06-04,Summer,2012,6,Non Holiday,Monday,Working Day,Clear,59,57,48,28,1071,5927,6998
522,2012-06-05,Summer,2012,6,Non Holiday,Tuesday,Working Day,Mist,54,52,61,20,968,6033,7001
523,2012-06-06,Summer,2012,6,Non Holiday,Wednesday,Working Day,Clear,55,54,61,7,1027,6028,7055
524,2012-06-07,Summer,2012,6,Non Holiday,Thursday,Working Day,Clear,60,56,56,15,1038,6456,7494
525,2012-06-08,Summer,2012,6,Non Holiday,Friday,Working Day,Clear,64,59,46,17,1488,6248,7736
526,2012-06-09,Summer,2012,6,Non Holiday,Saturday,Non-Working Day,Clear,71,64,43,14,2708,4790,7498
527,2012-06-10,Summer,2012,6,Non Holiday,Sunday,Non-Working Day,Clear,72,66,53,13,2224,4374,6598
528,2012-06-11,Summer,2012,6,Non Holiday,Monday,Working Day,Mist,72,65,58,20,1017,5647,6664
529,2012-06-12,Summer,2012,6,Non Holiday,Tuesday,Working Day,Mist,65,59,83,21,477,4495,4972
530,2012-06-13,Summer,2012,6,Non Holiday,Wednesday,Working Day,Clear,65,61,58,34,1173,6248,7421
531,2012-06-14,Summer,2012,6,Non Holiday,Thursday,Working Day,Clear,64,62,56,25,1180,6183,7363
532,2012-06-15,Summer,2012,6,Non Holiday,Friday,Working Day,Clear,63,59,58,17,1563,6102,7665
533,2012-06-16,Summer,2012,6,Non Holiday,Saturday,Non-Working Day,Clear,63,59,50,16,2963,4739,7702
534,2012-06-17,Summer,2012,6,Non Holiday,Sunday,Non-Working Day,Clear,59,57,59,14,2634,4344,6978
535,2012-06-18,Summer,2012,6,Non Holiday,Monday,Working Day,Mist,56,54,77,17,653,4446,5099
536,2012-06-19,Summer,2012,6,Non Holiday,Tuesday,Working Day,Clear,68,65,69,14,968,5857,6825
537,2012-06-20,Summer,2012,6,Non Holiday,Wednesday,Working Day,Clear,78,72,59,11,872,5339,6211
538,2012-06-21,Fall,2012,6,Non Holiday,Thursday,Working Day,Clear,80,75,56,11,778,5127,5905
539,2012-06-22,Fall,2012,6,Non Holiday,Friday,Working Day,Clear,77,72,57,18,964,4859,5823
540,2012-06-23,Fall,2012,6,Non Holiday,Saturday,Non-Working Day,Clear,73,65,53,17,2657,4801,7458
541,2012-06-24,Fall,2012,6,Non Holiday,Sunday,Non-Working Day,Clear,74,67,47,14,2551,4340,6891
542,2012-06-25,Fall,2012,6,Non Holiday,Monday,Working Day,Clear,71,65,50,30,1139,5640,6779
543,2012-06-26,Fall,2012,6,Non Holiday,Tuesday,Working Day,Clear,63,59,37,34,1077,6365,7442
544,2012-06-27,Fall,2012,6,Non Holiday,Wednesday,Working Day,Clear,69,64,36,27,1077,6258,7335
545,2012-06-28,Fall,2012,6,Non Holiday,Thursday,Working Day,Clear,74,67,42,17,921,5958,6879
546,2012-06-29,Fall,2012,6,Non Holiday,Friday,Working Day,Clear,83,78,48,16,829,4634,5463
547,2012-06-30,Fall,2012,6,Non Holiday,Saturday,Non-Working Day,Clear,76,68,60,16,1455,4232,5687
548,2012-07-01,Fall,2012,7,Non Holiday,Sunday,Non-Working Day,Clear,81,75,51,16,1421,4110,5531
549,2012-07-02,Fall,2012,7,Non Holiday,Monday,Working Day,Clear,78,70,44,19,904,5323,6227
550,2012-07-03,Fall,2012,7,Non Holiday,Tuesday,Working Day,Clear,78,70,49,12,1052,5608,6660
551,2012-07-04,Fall,2012,7,Holiday,Wednesday,Non-Working Day,Clear,78,73,53,13,2562,4841,7403
552,2012-07-05,Fall,2012,7,Non Holiday,Thursday,Working Day,Clear,82,76,45,19,1405,4836,6241
553,2012-07-06,Fall,2012,7,Non Holiday,Friday,Working Day,Clear,82,75,45,14,1366,4841,6207
554,2012-07-07,Fall,2012,7,Non Holiday,Saturday,Non-Working Day,Clear,86,80,49,16,1448,3392,4840
555,2012-07-08,Fall,2012,7,Non Holiday,Sunday,Non-Working Day,Clear,82,79,57,12,1203,3469,4672
556,2012-07-09,Fall,2012,7,Non Holiday,Monday,Working Day,Mist,71,65,68,18,998,5571,6569
557,2012-07-10,Fall,2012,7,Non Holiday,Tuesday,Working Day,Mist,72,66,66,15,954,5336,6290
558,2012-07-11,Fall,2012,7,Non Holiday,Wednesday,Working Day,Clear,71,65,63,15,975,6289,7264
559,2012-07-12,Fall,2012,7,Non Holiday,Thursday,Working Day,Clear,71,65,52,14,1032,6414,7446
560,2012-07-13,Fall,2012,7,Non Holiday,Friday,Working Day,Mist,73,66,48,8,1511,5988,7499
561,2012-07-14,Fall,2012,7,Non Holiday,Saturday,Non-Working Day,Mist,70,66,69,14,2355,4614,6969
562,2012-07-15,Fall,2012,7,Non Holiday,Sunday,Non-Working Day,Clear,74,70,71,16,1920,4111,6031
563,2012-07-16,Fall,2012,7,Non Holiday,Monday,Working Day,Clear,76,72,64,16,1088,5742,6830
564,2012-07-17,Fall,2012,7,Non Holiday,Tuesday,Working Day,Clear,81,75,50,11,921,5865,6786
565,2012-07-18,Fall,2012,7,Non Holiday,Wednesday,Working Day,Clear,79,74,57,13,799,4914,5713
566,2012-07-19,Fall,2012,7,Non Holiday,Thursday,Working Day,Clear,77,71,60,16,888,5703,6591
567,2012-07-20,Fall,2012,7,Non Holiday,Friday,Working Day,Mist,66,61,84,20,747,5123,5870
568,2012-07-21,Fall,2012,7,Non Holiday,Saturday,Non-Working Day,Light Precipitation,59,54,86,21,1264,3195,4459
569,2012-07-22,Fall,2012,7,Non Holiday,Sunday,Non-Working Day,Mist,66,62,76,9,2544,4866,7410
570,2012-07-23,Fall,2012,7,Non Holiday,Monday,Working Day,Clear,74,69,69,13,1135,5831,6966
571,2012-07-24,Fall,2012,7,Non Holiday,Tuesday,Working Day,Clear,75,70,65,21,1140,6452,7592
572,2012-07-25,Fall,2012,7,Non Holiday,Wednesday,Working Day,Clear,72,65,45,16,1383,6790,8173
573,2012-07-26,Fall,2012,7,Non Holiday,Thursday,Working Day,Clear,77,73,59,28,1036,5825,6861
574,2012-07-27,Fall,2012,7,Non Holiday,Friday,Working Day,Clear,78,73,59,15,1259,5645,6904
575,2012-07-28,Fall,2012,7,Non Holiday,Saturday,Non-Working Day,Clear,75,69,61,15,2234,4451,6685
576,2012-07-29,Fall,2012,7,Non Holiday,Sunday,Non-Working Day,Clear,72,66,62,17,2153,4444,6597
577,2012-07-30,Fall,2012,7,Non Holiday,Monday,Working Day,Clear,73,68,66,15,1040,6065,7105
578,2012-07-31,Fall,2012,7,Non Holiday,Tuesday,Working Day,Clear,71,66,70,16,968,6248,7216
579,2012-08-01,Fall,2012,8,Non Holiday,Wednesday,Working Day,Clear,71,66,67,14,1074,6506,7580
580,2012-08-02,Fall,2012,8,Non Holiday,Thursday,Working Day,Clear,75,70,65,12,983,6278,7261
581,2012-08-03,Fall,2012,8,Non Holiday,Friday,Working Day,Mist,76,72,64,21,1328,5847,7175
582,2012-08-04,Fall,2012,8,Non Holiday,Saturday,Non-Working Day,Clear,79,75,61,25,2345,4479,6824
583,2012-08-05,Fall,2012,8,Non Holiday,Sunday,Non-Working Day,Clear,76,73,65,29,1707,3757,5464
584,2012-08-06,Fall,2012,8,Non Holiday,Monday,Working Day,Mist,75,71,65,12,1233,5780,7013
585,2012-08-07,Fall,2012,8,Non Holiday,Tuesday,Working Day,Mist,73,69,70,11,1278,5995,7273
586,2012-08-08,Fall,2012,8,Non Holiday,Wednesday,Working Day,Mist,75,70,67,11,1263,6271,7534
587,2012-08-09,Fall,2012,8,Non Holiday,Thursday,Working Day,Clear,75,69,62,15,1196,6090,7286
588,2012-08-10,Fall,2012,8,Non Holiday,Friday,Working Day,Mist,71,66,71,23,1065,4721,5786
589,2012-08-11,Fall,2012,8,Non Holiday,Saturday,Non-Working Day,Mist,69,63,73,20,2247,4052,6299
590,2012-08-12,Fall,2012,8,Non Holiday,Sunday,Non-Working Day,Clear,70,64,53,12,2182,4362,6544
591,2012-08-13,Fall,2012,8,Non Holiday,Monday,Working Day,Clear,72,66,54,13,1207,5676,6883
592,2012-08-14,Fall,2012,8,Non Holiday,Tuesday,Working Day,Clear,72,67,68,16,1128,5656,6784
593,2012-08-15,Fall,2012,8,Non Holiday,Wednesday,Working Day,Clear,70,65,61,16,1198,6149,7347
594,2012-08-16,Fall,2012,8,Non Holiday,Thursday,Working Day,Clear,71,65,51,14,1338,6267,7605
595,2012-08-17,Fall,2012,8,Non Holiday,Friday,Working Day,Clear,72,24,57,23,1483,5665,7148
596,2012-08-18,Fall,2012,8,Non Holiday,Saturday,Non-Working Day,Clear,67,61,60,17,2827,5038,7865
597,2012-08-19,Fall,2012,8,Non Holiday,Sunday,Non-Working Day,Mist,63,60,71,8,1208,3341,4549
598,2012-08-20,Fall,2012,8,Non Holiday,Monday,Working Day,Mist,63,59,73,12,1026,5504,6530
599,2012-08-21,Fall,2012,8,Non Holiday,Tuesday,Working Day,Clear,64,60,67,7,1081,5925,7006
600,2012-08-22,Fall,2012,8,Non Holiday,Wednesday,Working Day,Clear,66,62,67,7,1094,6281,7375
601,2012-08-23,Fall,2012,8,Non Holiday,Thursday,Working Day,Clear,69,63,63,8,1363,6402,7765
602,2012-08-24,Fall,2012,8,Non Holiday,Friday,Working Day,Mist,70,64,61,7,1325,6257,7582
603,2012-08-25,Fall,2012,8,Non Holiday,Saturday,Non-Working Day,Mist,66,61,71,24,1829,4224,6053
604,2012-08-26,Fall,2012,8,Non Holiday,Sunday,Non-Working Day,Mist,65,59,84,22,1483,3772,5255
605,2012-08-27,Fall,2012,8,Non Holiday,Monday,Working Day,Clear,70,65,73,12,989,5928,6917
606,2012-08-28,Fall,2012,8,Non Holiday,Tuesday,Working Day,Clear,72,66,62,19,935,6105,7040
607,2012-08-29,Fall,2012,8,Non Holiday,Wednesday,Working Day,Clear,68,63,55,11,1177,6520,7697
608,2012-08-30,Fall,2012,8,Non Holiday,Thursday,Working Day,Clear,70,65,59,7,1172,6541,7713
609,2012-08-31,Fall,2012,8,Non Holiday,Friday,Working Day,Clear,76,68,58,16,1433,5917,7350
610,2012-09-01,Fall,2012,9,Non Holiday,Saturday,Non-Working Day,Mist,75,70,63,11,2352,3788,6140
611,2012-09-02,Fall,2012,9,Non Holiday,Sunday,Non-Working Day,Mist,69,64,81,6,2613,3197,5810
612,2012-09-03,Fall,2012,9,Holiday,Monday,Non-Working Day,Clear,70,66,79,15,1965,4069,6034
613,2012-09-04,Fall,2012,9,Non Holiday,Tuesday,Working Day,Clear,72,68,75,23,867,5997,6864
614,2012-09-05,Fall,2012,9,Non Holiday,Wednesday,Working Day,Clear,73,70,74,18,832,6280,7112
615,2012-09-06,Fall,2012,9,Non Holiday,Thursday,Working Day,Mist,69,65,81,14,611,5592,6203
616,2012-09-07,Fall,2012,9,Non Holiday,Friday,Working Day,Clear,70,65,73,17,1045,6459,7504
617,2012-09-08,Fall,2012,9,Non Holiday,Saturday,Non-Working Day,Mist,65,61,79,28,1557,4419,5976
618,2012-09-09,Fall,2012,9,Non Holiday,Sunday,Non-Working Day,Clear,61,57,54,22,2570,5657,8227
619,2012-09-10,Fall,2012,9,Non Holiday,Monday,Working Day,Clear,58,56,50,25,1118,6407,7525
620,2012-09-11,Fall,2012,9,Non Holiday,Tuesday,Working Day,Clear,57,55,52,9,1070,6697,7767
621,2012-09-12,Fall,2012,9,Non Holiday,Wednesday,Working Day,Clear,59,57,57,13,1050,6820,7870
622,2012-09-13,Fall,2012,9,Non Holiday,Thursday,Working Day,Clear,61,57,63,8,1054,6750,7804
623,2012-09-14,Fall,2012,9,Non Holiday,Friday,Working Day,Clear,63,59,67,10,1379,6630,8009
624,2012-09-15,Fall,2012,9,Non Holiday,Saturday,Non-Working Day,Clear,60,58,50,24,3160,5554,8714
625,2012-09-16,Fall,2012,9,Non Holiday,Sunday,Non-Working Day,Clear,57,56,56,9,2166,5167,7333
626,2012-09-17,Fall,2012,9,Non Holiday,Monday,Working Day,Mist,58,55,73,15,1022,5847,6869
627,2012-09-18,Fall,2012,9,Non Holiday,Tuesday,Working Day,Mist,62,56,87,35,371,3702,4073
628,2012-09-19,Fall,2012,9,Non Holiday,Wednesday,Working Day,Clear,55,54,53,21,788,6803,7591
629,2012-09-20,Fall,2012,9,Non Holiday,Thursday,Working Day,Clear,54,53,61,11,939,6781,7720
630,2012-09-21,Fall,2012,9,Non Holiday,Friday,Working Day,Clear,59,57,66,15,1250,6917,8167
631,2012-09-22,Fall,2012,9,Non Holiday,Saturday,Non-Working Day,Clear,65,61,64,28,2512,5883,8395
632,2012-09-23,Winter,2012,9,Non Holiday,Sunday,Non-Working Day,Clear,52,51,46,22,2454,5453,7907
633,2012-09-24,Winter,2012,9,Non Holiday,Monday,Working Day,Clear,51,50,49,14,1001,6435,7436
634,2012-09-25,Winter,2012,9,Non Holiday,Tuesday,Working Day,Clear,55,54,56,23,845,6693,7538
635,2012-09-26,Winter,2012,9,Non Holiday,Wednesday,Working Day,Clear,63,59,63,24,787,6946,7733
636,2012-09-27,Winter,2012,9,Non Holiday,Thursday,Working Day,Mist,65,60,69,13,751,6642,7393
637,2012-09-28,Winter,2012,9,Non Holiday,Friday,Working Day,Mist,61,58,69,16,1045,6370,7415
638,2012-09-29,Winter,2012,9,Non Holiday,Saturday,Non-Working Day,Clear,54,53,54,22,2589,5966,8555
639,2012-09-30,Winter,2012,9,Non Holiday,Sunday,Non-Working Day,Clear,52,51,58,13,2015,4874,6889
640,2012-10-01,Winter,2012,10,Non Holiday,Monday,Working Day,Mist,52,51,64,9,763,6015,6778
641,2012-10-02,Winter,2012,10,Non Holiday,Tuesday,Working Day,Light Precipitation,59,54,87,10,315,4324,4639
642,2012-10-03,Winter,2012,10,Non Holiday,Wednesday,Working Day,Mist,65,59,79,6,728,6844,7572
643,2012-10-04,Winter,2012,10,Non Holiday,Thursday,Working Day,Mist,65,60,72,11,891,6437,7328
644,2012-10-05,Winter,2012,10,Non Holiday,Friday,Working Day,Clear,61,58,62,10,1516,6640,8156
645,2012-10-06,Winter,2012,10,Non Holiday,Saturday,Non-Working Day,Clear,55,53,66,26,3031,4934,7965
646,2012-10-07,Winter,2012,10,Non Holiday,Sunday,Non-Working Day,Mist,41,41,70,14,781,2729,3510
647,2012-10-08,Winter,2012,10,Holiday,Monday,Non-Working Day,Mist,38,38,70,18,874,4604,5478
648,2012-10-09,Winter,2012,10,Non Holiday,Tuesday,Working Day,Mist,44,43,76,19,601,5791,6392
649,2012-10-10,Winter,2012,10,Non Holiday,Wednesday,Working Day,Clear,51,50,63,18,780,6911,7691
650,2012-10-11,Winter,2012,10,Non Holiday,Thursday,Working Day,Clear,43,43,46,18,834,6736,7570
651,2012-10-12,Winter,2012,10,Non Holiday,Friday,Working Day,Clear,43,43,53,23,1060,6222,7282
652,2012-10-13,Winter,2012,10,Non Holiday,Saturday,Non-Working Day,Clear,39,39,49,14,2252,4857,7109
653,2012-10-14,Winter,2012,10,Non Holiday,Sunday,Non-Working Day,Clear,52,50,64,27,2080,4559,6639
654,2012-10-15,Winter,2012,10,Non Holiday,Monday,Working Day,Mist,56,53,70,29,760,5115,5875
655,2012-10-16,Winter,2012,10,Non Holiday,Tuesday,Working Day,Clear,46,46,55,18,922,6612,7534
656,2012-10-17,Winter,2012,10,Non Holiday,Wednesday,Working Day,Clear,45,45,69,10,979,6482,7461
657,2012-10-18,Winter,2012,10,Non Holiday,Thursday,Working Day,Mist,52,51,72,23,1008,6501,7509
658,2012-10-19,Winter,2012,10,Non Holiday,Friday,Working Day,Mist,56,53,81,13,753,4671,5424
659,2012-10-20,Winter,2012,10,Non Holiday,Saturday,Non-Working Day,Clear,48,47,57,11,2806,5284,8090
660,2012-10-21,Winter,2012,10,Non Holiday,Sunday,Non-Working Day,Clear,46,45,51,16,2132,4692,6824
661,2012-10-22,Winter,2012,10,Non Holiday,Monday,Working Day,Clear,48,48,56,8,830,6228,7058
662,2012-10-23,Winter,2012,10,Non Holiday,Tuesday,Working Day,Clear,54,53,64,9,841,6625,7466
663,2012-10-24,Winter,2012,10,Non Holiday,Wednesday,Working Day,Clear,58,55,63,7,795,6898,7693
664,2012-10-25,Winter,2012,10,Non Holiday,Thursday,Working Day,Mist,55,52,80,12,875,6484,7359
665,2012-10-26,Winter,2012,10,Non Holiday,Friday,Working Day,Mist,54,52,80,13,1182,6262,7444
666,2012-10-27,Winter,2012,10,Non Holiday,Saturday,Non-Working Day,Mist,53,51,72,23,2643,5209,7852
667,2012-10-28,Winter,2012,10,Non Holiday,Sunday,Non-Working Day,Mist,47,46,69,39,998,3461,4459
668,2012-10-29,Winter,2012,10,Non Holiday,Monday,Working Day,Light Precipitation,44,43,88,35,2,20,22
669,2012-10-30,Winter,2012,10,Non Holiday,Tuesday,Working Day,Mist,31,30,82,21,87,1009,1096
670,2012-10-31,Winter,2012,10,Non Holiday,Wednesday,Working Day,Mist,35,36,66,16,419,5147,5566
671,2012-11-01,Winter,2012,11,Non Holiday,Thursday,Working Day,Mist,36,36,58,15,466,5520,5986
672,2012-11-02,Winter,2012,11,Non Holiday,Friday,Working Day,Clear,35,35,52,26,618,5229,5847
673,2012-11-03,Winter,2012,11,Non Holiday,Saturday,Non-Working Day,Mist,34,32,49,27,1029,4109,5138
674,2012-11-04,Winter,2012,11,Non Holiday,Sunday,Non-Working Day,Clear,32,32,53,17,1201,3906,5107
675,2012-11-05,Winter,2012,11,Non Holiday,Monday,Working Day,Clear,31,30,49,23,378,4881,5259
676,2012-11-06,Winter,2012,11,Non Holiday,Tuesday,Working Day,Clear,28,28,56,17,466,5220,5686
677,2012-11-07,Winter,2012,11,Non Holiday,Wednesday,Working Day,Mist,29,27,54,30,326,4709,5035
678,2012-11-08,Winter,2012,11,Non Holiday,Thursday,Working Day,Clear,35,34,33,34,340,4975,5315
679,2012-11-09,Winter,2012,11,Non Holiday,Friday,Working Day,Clear,36,35,54,21,709,5283,5992
680,2012-11-10,Winter,2012,11,Non Holiday,Saturday,Non-Working Day,Clear,38,39,64,5,2090,4446,6536
681,2012-11-11,Winter,2012,11,Non Holiday,Sunday,Non-Working Day,Clear,42,42,65,12,2290,4562,6852
682,2012-11-12,Winter,2012,11,Holiday,Monday,Non-Working Day,Clear,48,47,74,17,1097,5172,6269
683,2012-11-13,Winter,2012,11,Non Holiday,Tuesday,Working Day,Mist,34,32,66,34,327,3767,4094
684,2012-11-14,Winter,2012,11,Non Holiday,Wednesday,Working Day,Clear,28,28,55,19,373,5122,5495
685,2012-11-15,Winter,2012,11,Non Holiday,Thursday,Working Day,Mist,32,32,62,15,320,5125,5445
686,2012-11-16,Winter,2012,11,Non Holiday,Friday,Working Day,Clear,34,34,52,17,484,5214,5698
687,2012-11-17,Winter,2012,11,Non Holiday,Saturday,Non-Working Day,Clear,32,32,54,17,1313,4316,5629
688,2012-11-18,Winter,2012,11,Non Holiday,Sunday,Non-Working Day,Clear,34,33,69,22,922,3747,4669
689,2012-11-19,Winter,2012,11,Non Holiday,Monday,Working Day,Mist,38,37,62,23,449,5050,5499
690,2012-11-20,Winter,2012,11,Non Holiday,Tuesday,Working Day,Mist,37,38,68,8,534,5100,5634
691,2012-11-21,Winter,2012,11,Non Holiday,Wednesday,Working Day,Clear,35,36,61,10,615,4531,5146
692,2012-11-22,Winter,2012,11,Holiday,Thursday,Non-Working Day,Clear,34,35,58,5,955,1470,2425
693,2012-11-23,Winter,2012,11,Non Holiday,Friday,Working Day,Clear,36,37,56,14,1603,2307,3910
694,2012-11-24,Winter,2012,11,Non Holiday,Saturday,Non-Working Day,Clear,27,24,40,37,532,1745,2277
695,2012-11-25,Winter,2012,11,Non Holiday,Sunday,Non-Working Day,Clear,24,25,46,15,309,2115,2424
696,2012-11-26,Winter,2012,11,Non Holiday,Monday,Working Day,Clear,31,33,53,4,337,4750,5087
697,2012-11-27,Winter,2012,11,Non Holiday,Tuesday,Working Day,Mist,29,28,78,23,123,3836,3959
698,2012-11-28,Winter,2012,11,Non Holiday,Wednesday,Working Day,Clear,29,28,50,21,198,5062,5260
699,2012-11-29,Winter,2012,11,Non Holiday,Thursday,Working Day,Clear,28,29,55,11,243,5080,5323
700,2012-11-30,Winter,2012,11,Non Holiday,Friday,Working Day,Clear,29,32,64,5,362,5306,5668
701,2012-12-01,Winter,2012,12,Non Holiday,Saturday,Non-Working Day,Mist,29,31,80,5,951,4240,5191
702,2012-12-02,Winter,2012,12,Non Holiday,Sunday,Non-Working Day,Mist,34,35,82,12,892,3757,4649
703,2012-12-03,Winter,2012,12,Non Holiday,Monday,Working Day,Clear,45,45,76,8,555,5679,6234
704,2012-12-04,Winter,2012,12,Non Holiday,Tuesday,Working Day,Clear,47,46,73,17,551,6055,6606
705,2012-12-05,Winter,2012,12,Non Holiday,Wednesday,Working Day,Clear,43,42,48,32,331,5398,5729
706,2012-12-06,Winter,2012,12,Non Holiday,Thursday,Working Day,Clear,25,25,50,17,340,5035,5375
707,2012-12-07,Winter,2012,12,Non Holiday,Friday,Working Day,Mist,32,32,76,13,349,4659,5008
708,2012-12-08,Winter,2012,12,Non Holiday,Saturday,Non-Working Day,Mist,38,38,91,10,1153,4429,5582
709,2012-12-09,Winter,2012,12,Non Holiday,Sunday,Non-Working Day,Mist,38,39,90,15,441,2787,3228
710,2012-12-10,Winter,2012,12,Non Holiday,Monday,Working Day,Mist,43,43,92,19,329,4841,5170
711,2012-12-11,Winter,2012,12,Non Holiday,Tuesday,Working Day,Mist,35,33,59,29,282,5219,5501
712,2012-12-12,Winter,2012,12,Non Holiday,Wednesday,Working Day,Mist,29,29,53,16,310,5009,5319
713,2012-12-13,Winter,2012,12,Non Holiday,Thursday,Working Day,Clear,29,29,48,17,425,5107,5532
714,2012-12-14,Winter,2012,12,Non Holiday,Friday,Working Day,Clear,28,29,64,13,429,5182,5611
715,2012-12-15,Winter,2012,12,Non Holiday,Saturday,Non-Working Day,Clear,32,33,65,10,767,4280,5047
716,2012-12-16,Winter,2012,12,Non Holiday,Sunday,Non-Working Day,Mist,36,36,83,10,538,3248,3786
717,2012-12-17,Winter,2012,12,Non Holiday,Monday,Working Day,Mist,39,40,90,9,212,4373,4585
718,2012-12-18,Winter,2012,12,Non Holiday,Tuesday,Working Day,Clear,41,40,66,22,433,5124,5557
719,2012-12-19,Winter,2012,12,Non Holiday,Wednesday,Working Day,Clear,33,34,62,18,333,4934,5267
720,2012-12-20,Winter,2012,12,Non Holiday,Thursday,Working Day,Mist,33,33,66,13,314,3814,4128
721,2012-12-21,Spring,2012,12,Non Holiday,Friday,Working Day,Mist,32,30,55,37,221,3402,3623
722,2012-12-22,Spring,2012,12,Non Holiday,Saturday,Non-Working Day,Clear,26,23,44,40,205,1544,1749
723,2012-12-23,Spring,2012,12,Non Holiday,Sunday,Non-Working Day,Clear,24,25,51,13,408,1379,1787
724,2012-12-24,Spring,2012,12,Non Holiday,Monday,Working Day,Mist,23,25,79,7,174,746,920
725,2012-12-25,Spring,2012,12,Holiday,Tuesday,Non-Working Day,Mist,29,29,73,16,440,573,1013
726,2012-12-26,Spring,2012,12,Non Holiday,Wednesday,Working Day,Light Precipitation,24,22,82,31,9,432,441
727,2012-12-27,Spring,2012,12,Non Holiday,Thursday,Working Day,Mist,25,22,65,35,247,1867,2114
728,2012-12-28,Spring,2012,12,Non Holiday,Friday,Working Day,Mist,25,25,59,15,644,2451,3095
729,2012-12-29,Spring,2012,12,Non Holiday,Saturday,Non-Working Day,Mist,25,24,75,12,159,1182,1341
730,2012-12-30,Spring,2012,12,Non Holiday,Sunday,Non-Working Day,Clear,25,23,48,35,364,1432,1796
731,2012-12-31,Spring,2012,12,Non Holiday,Monday,Working Day,Mist,21,22,57,15,439,2290,2729
